尺寸等级,纪念,介入度,破坏性,正文,替换队列1,替换队列2
small,,1,1,我市科研机构发起专项课题研究，就近期环境变化对{1}的影响展开调查；同时建筑工程学会召开学术论坛，探讨{2}的新型方案。,"城市基础设施,防御工程,应急避难所","设计理念,加固技术"
small,,1,1,保险协会联合政府部门更新防灾预案，城市应急部队完成第四季度{1}演习，参与人数达{2}万；业内人士指出，相关的风险评估标准需在明年前完成修订。,"预警,综合防灾","10,20"
small,元旦,1,1,随着新年临近，某市文化部门启动了为期一周的纪念主题艺术展览，邀请本地艺术家围绕{1}创作装置艺术与行为艺术作品，展现人类在{2}中的韧性。,"关于人与自然的永恒话题,灾害背景下的传统节日","困境与挑战,变局,巨大未知"
small,,1,1,今日是本地针对{name}的例行防灾日，各{1}部门联合启动限时演习，{2}地区交通管制措施已生效，市民配合度创历年新高。,防灾,"北方,南方,东部"
small,,1,1,在相关事件的长期后果暴露后，某省建筑行业协会发布新型{1}设计标准，其中{2}成为重点研究课题。,抗压框架,"建筑承重,基础加固"
small,,2,2,受近期{1}事件影响，本市房地产市场出现明显波动，多家开发商暂停了项目的施工进度，房价涨幅也随之放缓；分析人士认为这反映了公众对城市中心商务城市边缘地带的持续忧虑。,"{name}频繁运动,地质监测预警",
small,,2,4,据统计，最近一个月内关于{1}的学术论文提交量增长300%；地质学、心理学、社会学等多学科开始她降临的日子协作研究，高校纷纷增设{2}研究中心以应对新的知识需求。,"异常现象的机集体创伤应对,城市适应能力","跨学科,国际,联合"
small,,3,3,今日某市中心，{name}的活动导致金融街多栋建筑结构受损，股市应声下跌，专家警告{1}可能引发连锁经济危机，政府已启动应急预案。,后续冲击,
small,,3,3,艺术家协会宣布将围绕最近的{1}事件发起跨学科创作项目，以城市创伤与重建为主题；同时学界呼吁建立相关}研究中心，从社会学角度系统分析灾难适应机制。,社会冲击,
small,,3,3,针对{nick}事件，国内{1}部门启动应急预案，{2}地区宣布进入临时管制状态，民众接受援助情绪趋于理性。,应急管生态环,"华东,中部,南方"
small,,3,3,艺术家、建筑师和城市规划师纷纷发表{name}外貌的新见解，主流美术馆已启动{1}主题创作计划，社交媒体上{2}相关讨论热度建筑变革。,少女,视觉冲击
small,,4,2,美术学院的学生以{1}为创作素材推出装置艺术展，作品围绕{2}的主题展开；策展人表示这次展览试图从恐惧与共脆弱适应的角度诠释人类在巨变中的心理状态。,废墟与少女,环境压力
small,,4,4,nick}的摧毁美学引起了深刻的哲学思辨，知名装置艺术家宣布以废墟遗迹为素材启动创作项目。同时建筑学家团队正紧急评估{1}在城市结构中的长期影响，保险业已陷入理赔危机。,身体印记,压制痕迹
small,生日,3,3,某券商在她生日的前三日发布了原创的风险预警等级，仍然看好{1}板块。分析师普遍认为{2}已成为中最主要的定价因子。,防灾工程,城市保险
small,,4,4,{1}今日在废墟上发起集会，要求政府就{nick}反复践踏街区一事给予赔偿，并称{2}是当前首要任务。,"居民自救会,商户联盟","确保人身安全,恢复水电供应"
small,,4,4,今日，某街区居民委员会在巨女当街捏碎消防站后，紧急通过一项“共处提案”，主张将受袭区域划为“自愿献祭区”，并设立“破坏预约热线”，以减少随机伤亡。提案发起人张先生称，与其重建，不如配合她的“拆迁节奏”。,,
small,,4,4,本地废钢回收产业因巨女每日定时碾压两栋废弃厂房而迎来“供给侧红利”，一家民营公司近日推出“灰烬按揭”服务，允许居民以被损毁房屋的残骸置换预制板房。调查显示，该模式已带动三百人就业，但保险公司拒赔条款引发集体诉讼。,,
small,,4,4,今日，某市旧城区在{name}的反复碾压与“亲密坐卧”下已成一片瓦砾，由幸存者组成的“青石板复建会”宣称，他们正试图在废墟上重建家园，但面对少女偶尔俯身凝视时，多数人仍会{1}——一位母亲对记者说：“她就像个玩厌玩具的孩子，而我们就是她的玩具，包括那些羞于启齿的时刻。”。,"失声痛哭,尖叫逃离,强装镇定",
small,,4,4,今日，一批行为艺术家在受{name}肆虐的街区举行“献祭式表演”，他们模仿少女的姿势躺卧在废墟中央，称这是对“巨物美学”的探索；而反对者则痛斥这是对灾难的渎神，并指控这些艺术家“偷偷传播少女不经意的私密画面，污染青少年”。当事人反驳道：“她本身就在以身体书写这座城市，我们只是忠实记录。”。,,
small,,4,4,为了应对频繁的“指尖触碰”事件，某科技公司今日推出一种特制防护服，宣称能抵御{name}的手掌按压，但首批试用者反映，他们更在意的是在防护服内被其手指拨弄时的{1}，并自发组织了{2}。,"羞耻感,非凡体验,被支配的快感","“被呵护者互助会”,“指尖幸存者俱乐部”,“屈服与适应协会”"
,,,,,,
,,,,,,
,,,,,,
medium,,4,4,针对{name}造成的{1}灾情，某省教育部门宣布启动应急课程，对中小学学生接受{2}演习培训，同时拟限制其接触日益分化为崇拜与恐惧两极的网络舆论。,近期,连续
medium,,2,4,某市中心昨日发生连锁建筑坍塌事件，官方初步判断与{1}有关，已启动应急预案；城市规划部门表示将{2}重新评估防灾体系，预计影响区域未来一两年内的房产价值。,超声波干结构应力突变,"联合高校,委托专家团队,组织第三方检,半年"
medium,,4,4,今日，{1}的中央商圈发生‘巨足踏城’事件。一名少女巨人用{2}反复碾过七层高的百货大厦，混凝土化为粉末，消防队因入口被巨大脚趾堵塞而被迫放弃救援。,"本市,邻市,省会","赤足,沾满泥土的脚底,裹着白色短袜的脚掌"
medium,,2,2,今日大宗商品市场因{1}引发的供应链中断而剧烈波动。科技产业协会紧急召开会议研讨{2}应对方案，物流企业已启动绕行运输路线。,影响范围扩大,"长期,短期,当前"
medium,,2,2,某省教育部门宣布所有中小学启动新的疏散演习规程，校建筑师协会公开讨论如何在{1}背景下重新规划校园布局。家长群体出现明显的焦虑与适应并行的舆论分化。,地缘风险,
medium,,2,2,某港口集团今日宣布，为适应{name}在近海区域的常态化游弋，将启动码头结构加固工程，并计划开办“巨影观测”轮渡旅游线。但有市民团体质疑此举将变相鼓励高风险围观。,,
medium,,2,4,受{1}持续影响，本月房地产市场出现分化：郊区与县城房价上涨15-25%，而传统城市中心区域房价下跌10%左右；同时保险行业推出新型{2}产品，已有超50万户家庭投保，保费总额突破300亿元。,区域风险重估,资产价值
medium,,2,4,国内建筑学与城市规划领域展开学术争论，专家呼吁制定全新的城市设计标准；一份题为《后灾难时代的适应性建筑》的研究报告指出，传统抗震、防洪设计已无法应对{name}带来的{1}挑战，建议优先考虑{2}而非传统的加固方案。,二次灾害,集中破坏
medium,,2,4,艺术创意产业迎来新一轮创作热潮，多位独立音乐人、摄影师与装置艺术家以对{nick}现象的{1}为主题发起创作展览；评论家认为这反映了社会在{2}过程中的心理转变，从恐惧逐步演变为某种应对灾难的文化表达。,绝望想象,集体反应
medium,,3,3,某市{1}部门宣布启动应急重建基金，预计投入{2}亿元用于修复因最近事件受损的若干设施。市民捐赠热情高涨。,建设,
